state,pollster,Respondent type,sample_size,start_date,end_date,Average date,Margin,Grade,Tentative grade,Weighted,Grade log,True age,Age weight,Grade weight
OH,Public Policy Polling,V,648,11/27/2018,11/28/2018,11/27/2018,4,5,,2518,0.699,557,-0.0249,-0.0037
NC,Public Policy Polling,RV,750,1/4/2019,1/7/2019,1/5/2019,5,5,,3652,0.699,518,-0.0225,-0.0037
MI,Glengariff Group Inc.,LV,600,1/24/2019,1/26/2019,1/25/2019,13,,2,7641,0.151,498,-0.0212,0.0018
IA,Emerson College,RV,831,1/30/2019,2/2/2019,1/31/2019,1,3,,975,0.477,492,-0.0208,-0.0015
NC,Harper Polling,LV,500,2/11/2019,2/13/2019,2/12/2019,-4,,2,-1962,0.151,480,-0.0201,0.0018
AZ,OH Predictive Insights,LV,600,2/12/2019,2/13/2019,2/12/2019,0,,2,0,0.151,480,-0.0201,0.0018
TX,Public Policy Polling,RV,743,2/13/2019,2/14/2019,2/13/2019,-3,5,,-2176,0.699,479,-0.0200,-0.0037
NH,Emerson College,RV,910,2/21/2019,2/22/2019,2/21/2019,10,3,,8553,0.477,471,-0.0195,-0.0015
TX,Quinnipiac University,RV,"1,222",2/20/2019,2/25/2019,2/22/2019,-1,4,,-1195,0.602,470,-0.0194,-0.0027
SC,Emerson College,RV,755,2/28/2019,3/2/2019,3/1/2019,-4,3,,-2810,0.477,463,-0.0190,-0.0015
MI,Emerson College,RV,743,3/7/2019,3/10/2019,3/8/2019,7,3,,5388,0.477,456,-0.0186,-0.0015
WI,Emerson College,RV,775,3/15/2019,3/17/2019,3/16/2019,9,3,,6535,0.477,448,-0.0181,-0.0015
PA,Firehouse/Optimus,LV,632,3/19/2019,3/21/2019,3/20/2019,7,,2,4349,0.151,444,-0.0178,0.0018
WI,Firehouse/Optimus,LV,616,3/19/2019,3/21/2019,3/20/2019,13,,2,7872,0.151,444,-0.0178,0.0018
MI,Firehouse/Optimus,LV,530,3/19/2019,3/21/2019,3/20/2019,-1,,2,-521,0.151,444,-0.0178,0.0018
IA,Emerson College,RV,707,3/21/2019,3/24/2019,3/22/2019,6,3,,4022,0.477,442,-0.0177,-0.0015
PA,Emerson College,RV,808,3/26/2019,3/28/2019,3/27/2019,10,3,,7611,0.477,437,-0.0174,-0.0015
NV,Emerson College,RV,719,3/28/2019,3/30/2019,3/29/2019,3,3,,2399,0.477,435,-0.0173,-0.0015
MA,Emerson College,RV,761,4/4/2019,4/7/2019,4/5/2019,38,3,,28092,0.477,428,-0.0168,-0.0015
MO,Remington Research,LV,955,4/10/2019,4/11/2019,4/10/2019,-8,n/a,,-7514,,423,-0.0165,
WI,Zogby,LV,802,4/15/2019,4/18/2019,4/16/2019,10,,2,7898,0.151,417,-0.0161,0.0018
TX,Emerson College,RV,799,4/25/2019,4/28/2019,4/26/2019,1,3,,785,0.477,407,-0.0155,-0.0015
FL,WPA Intelligence,LV,200,4/27/2019,4/30/2019,4/28/2019,-4,,1,-789,0.000,405,-0.0154,0.0033
IA,WPA Intelligence,LV,200,4/27/2019,4/30/2019,4/28/2019,-5,,1,-986,0.000,405,-0.0154,0.0033
MI,WPA Intelligence,LV,200,4/27/2019,4/30/2019,4/28/2019,3,,1,592,0.000,405,-0.0154,0.0033
PA,WPA Intelligence,LV,200,4/27/2019,4/30/2019,4/28/2019,1,,1,197,0.000,405,-0.0154,0.0033
TX,WPA Intelligence,LV,200,4/27/2019,4/30/2019,4/28/2019,-7,,1,-1381,0.000,405,-0.0154,0.0033
WI,WPA Intelligence,LV,200,4/27/2019,4/30/2019,4/28/2019,-4,,1,-789,0.000,405,-0.0154,0.0033
AZ,OH Predictive Insights,LV,600,5/1/2019,5/2/2019,5/1/2019,5,,2,2957,0.151,402,-0.0152,0.0018
PA,Quinnipiac University,RV,978,5/9/2019,5/14/2019,5/11/2019,11,4,,10573,0.602,392,-0.0146,-0.0027
ND,DFM Research,A,400,5/14/2019,5/18/2019,5/16/2019,-15,,2,-5920,0.151,387,-0.0143,0.0018
FL,Florida Atlantic University,RV,"1,007",5/16/2019,5/19/2019,5/17/2019,0,,2,-397,0.151,386,-0.0142,0.0018
NC,Spry Strategies,LV,730,5/25/2019,6/1/2019,5/28/2019,-11,,2,-7929,0.151,375,-0.0135,0.0018
MI,Glengariff Group Inc.,LV,600,5/28/2019,5/30/2019,5/29/2019,12,,2,7110,0.151,374,-0.0135,0.0018
TX,Quinnipiac University,RV,"1,159",5/29/2019,6/4/2019,6/1/2019,4,4,,4562,0.602,371,-0.0133,-0.0027
NC,Emerson College,RV,932,5/31/2019,6/3/2019,6/1/2019,11,3,,10469,0.477,371,-0.0132,-0.0015
MI,EPIC-MRA,LV,600,6/8/2019,6/12/2019,6/10/2019,11,4,,6499,0.602,362,-0.0127,-0.0027
KY,Gravis Marketing,LV,741,6/11/2019,6/12/2019,6/11/2019,-20,8,,-14550,0.903,361,-0.0126,-0.0057
MI,Firehouse/Optimus,LV,587,6/11/2019,6/13/2019,6/12/2019,3,,2,1740,0.151,360,-0.0126,0.0018
PA,Firehouse/Optimus,LV,565,6/11/2019,6/13/2019,6/12/2019,1,,2,558,0.151,360,-0.0126,0.0018
WI,Firehouse/Optimus,LV,535,6/11/2019,6/13/2019,6/12/2019,6,,2,3173,0.151,360,-0.0126,0.0018
SC,Change Research,RV,"2,312",6/11/2019,6/14/2019,6/12/2019,-16,9,,-36301,0.954,360,-0.0125,-0.0062
FL,Quinnipiac University,RV,"1,279",6/12/2019,6/17/2019,6/14/2019,9,4,,11337,0.602,358,-0.0124,-0.0027
FL,St. Pete Polls,LV,"3,095",6/15/2019,6/16/2019,6/15/2019,1,8,,1520,0.903,357,-0.0124,-0.0057
NC,Public Policy Polling,RV,610,6/17/2019,6/18/2019,6/17/2019,3,5,,1801,0.699,355,-0.0122,-0.0037
ME,Gravis Marketing,RV,767,6/24/2019,6/24/2019,6/24/2019,8,8,,6029,0.903,348,-0.0118,-0.0057
MI,Climate Nexus,RV,820,7/14/2019,7/17/2019,7/15/2019,13,,2,10558,0.151,327,-0.0105,0.0018
ND,1892 Polling,LV,500,7/15/2019,7/17/2019,7/16/2019,-26,,2,-12876,0.151,326,-0.0104,0.0018
OH,Quinnipiac University,RV,"1,431",7/17/2019,7/22/2019,7/19/2019,8,4,,11300,0.602,323,-0.0102,-0.0027
TX,UT-Tyler,RV,"1,414",7/24/2019,7/27/2019,7/25/2019,0,,2,0,0.151,317,-0.0098,0.0018
WA,Zogby,LV,"1,265",7/22/2019,8/1/2019,7/27/2019,21,,2,26330,0.151,315,-0.0098,0.0018
AZ,Fabrizio Ward LLC,LV,600,7/29/2019,7/31/2019,7/30/2019,5,,2,2974,0.151,312,-0.0096,0.0018
CO,Fabrizio Ward LLC,LV,600,7/29/2019,7/31/2019,7/30/2019,9,,2,5353,0.151,312,-0.0096,0.0018
KY,Fabrizio Ward LLC,LV,600,7/29/2019,7/31/2019,7/30/2019,-12,,2,-7138,0.151,312,-0.0096,0.0018
ME,Fabrizio Ward LLC,LV,600,7/29/2019,7/31/2019,7/30/2019,6,,2,3569,0.151,312,-0.0096,0.0018
NC,Fabrizio Ward LLC,LV,600,7/29/2019,7/31/2019,7/30/2019,4,,2,2379,0.151,312,-0.0096,0.0018
AK,Zogby,LV,321,7/22/2019,8/9/2019,7/31/2019,-5,,2,-1591,0.151,311,-0.0095,0.0018
TX,Emerson College,RV,"1,033",8/1/2019,8/3/2019,8/2/2019,2,3,,2044,0.477,309,-0.0094,-0.0015
TX,UT-Tyler,RV,"1,261",8/1/2019,8/4/2019,8/2/2019,4,,2,5001,0.151,309,-0.0093,0.0018
NC,Harper Polling,LV,500,8/1/2019,8/4/2019,8/2/2019,-1,,2,-496,0.151,309,-0.0093,0.0018
CA,SurveyUSA,RV,"2,184",8/1/2019,8/5/2019,8/3/2019,34,2,,73587,0.301,308,-0.0093,0.0003
NC,SurveyUSA,RV,"2,113",8/1/2019,8/5/2019,8/3/2019,8,2,,16752,0.301,308,-0.0093,0.0003
UT,Y2 Analytics,RV,149,7/31/2019,8/6/2019,8/3/2019,-1,,2,-148,0.151,308,-0.0093,0.0018
NH,Gravis Marketing,RV,505,8/2/2019,8/6/2019,8/4/2019,13,8,,6467,0.903,307,-0.0093,-0.0057
AZ,OH Predictive Insights,LV,600,8/13/2019,8/14/2019,8/13/2019,2,,2,1191,0.151,298,-0.0087,0.0018
NV,Gravis Marketing,RV,926,8/14/2019,8/16/2019,8/15/2019,6,8,,5477,0.903,296,-0.0086,-0.0057
CO,Emerson College,RV,"1,000",8/16/2019,8/19/2019,8/17/2019,10,3,,9902,0.477,294,-0.0084,-0.0015
MI,EPIC-MRA,LV,600,8/17/2019,8/21/2019,8/19/2019,10,4,,5934,0.602,292,-0.0083,-0.0027
TX,Climate Nexus,RV,"1,660",8/20/2019,8/25/2019,8/22/2019,0,,2,0,0.151,289,-0.0081,0.0018
WI,Marquette Law School,RV,800,8/25/2019,8/29/2019,8/27/2019,9,,2,7150,0.151,284,-0.0078,0.0018
TX,Univision,RV,"1,004",8/31/2019,9/6/2019,9/3/2019,4,,2,3990,0.151,277,-0.0074,0.0018
NH,Emerson College,RV,"1,041",9/6/2019,9/9/2019,9/7/2019,9,3,,9289,0.477,273,-0.0071,-0.0015
WI,Firehouse/Optimus,LV,534,9/7/2019,9/9/2019,9/8/2019,2,,2,1061,0.151,272,-0.0071,0.0018
MI,Firehouse/Optimus,LV,529,9/7/2019,9/9/2019,9/8/2019,1,,2,526,0.151,272,-0.0071,0.0018
PA,Firehouse/Optimus,LV,527,9/7/2019,9/9/2019,9/8/2019,4,,2,2095,0.151,272,-0.0071,0.0018
VA,Research America Inc.,A,"1,009",9/3/2019,9/15/2019,9/9/2019,18,,2,18051,0.151,271,-0.0070,0.0018
VA,Research America Inc.,RV,882,9/3/2019,9/15/2019,9/9/2019,17,,2,14903,0.151,271,-0.0070,0.0018
AZ,Bendixen & Amandi,RV,520,9/9/2019,9/12/2019,9/10/2019,-1,,2,-517,0.151,270,-0.0069,0.0018
FL,Florida Atlantic University,RV,934,9/12/2019,9/15/2019,9/13/2019,-1,,2,-929,0.151,267,-0.0067,0.0018
CA,SurveyUSA,RV,"1,785",9/13/2019,9/15/2019,9/14/2019,26,2,,46114,0.301,266,-0.0067,0.0003
TX,UT-Tyler,RV,"1,199",9/13/2019,9/15/2019,9/14/2019,2,,2,2384,0.151,266,-0.0067,0.0018
CA,Emerson College,RV,830,9/13/2019,9/16/2019,9/14/2019,28,3,,23052,0.477,266,-0.0066,-0.0015
MO,Remington Research,LV,"1,046",9/18/2019,9/19/2019,9/18/2019,-11,n/a,,-11432,,262,-0.0064,
CT,Sacred Heart University,A,"1,000",9/17/2019,10/2/2019,9/24/2019,19,,2,18903,0.151,256,-0.0060,0.0018
MI,Target Insyght,LV,804,9/24/2019,9/26/2019,9/25/2019,19,,3,15192,0.239,255,-0.0060,0.0009
VA,Virginia Commonwealth University,A,800,9/23/2019,10/4/2019,9/28/2019,8,,2,6369,0.151,252,-0.0058,0.0018
VA,Virginia Commonwealth University,RV,731,9/23/2019,10/4/2019,9/28/2019,8,,2,5820,0.151,252,-0.0058,0.0018
VA,Virginia Commonwealth University,LV,645,9/23/2019,10/4/2019,9/28/2019,5,,2,3209,0.151,252,-0.0058,0.0018
MT,University of Montana,RV,303,9/26/2019,10/3/2019,9/29/2019,-7,,1,-2112,0.000,251,-0.0057,0.0033
WI,Fox News,RV,"1,512",9/29/2019,10/2/2019,9/30/2019,9,3,,13512,0.477,250,-0.0056,-0.0015
OH,Emerson College,RV,837,9/29/2019,10/2/2019,9/30/2019,6,3,,4986,0.477,250,-0.0056,-0.0015
NC,Meredith College,RV,998,9/29/2019,10/7/2019,10/3/2019,-4,,2,-3974,0.151,247,-0.0055,0.0018
OH,Climate Nexus,RV,"1,112",10/1/2019,10/7/2019,10/4/2019,6,,2,6642,0.151,246,-0.0054,0.0018
NC,Public Policy Polling,V,963,10/4/2019,10/6/2019,10/5/2019,5,5,,4772,0.699,245,-0.0054,-0.0037
NC,East Carolina University,RV,"1,076",10/2/2019,10/9/2019,10/5/2019,3,,2,3214,0.151,245,-0.0053,0.0018
OH,Public Policy Polling,V,776,10/10/2019,10/11/2019,10/10/2019,2,5,,1539,0.699,240,-0.0050,-0.0037
ME,Public Policy Polling,V,939,10/11/2019,10/13/2019,10/12/2019,12,5,,11171,0.699,238,-0.0049,-0.0037
IA,Emerson College,RV,888,10/13/2019,10/16/2019,10/14/2019,-1,3,,-882,0.477,236,-0.0048,-0.0015
MN,Mason-Dixon Polling & Research Inc.,RV,800,10/14/2019,10/16/2019,10/15/2019,12,4,,9529,0.602,235,-0.0047,-0.0027
WI,Marquette Law School,RV,799,10/13/2019,10/17/2019,10/15/2019,6,,2,4776,0.151,235,-0.0047,0.0018
CA,SurveyUSA,RV,"1,242",10/15/2019,10/16/2019,10/15/2019,27,2,,33387,0.301,235,-0.0047,0.0003
FL,University of North Florida,RV,644,10/14/2019,10/20/2019,10/17/2019,5,,1,3210,0.000,233,-0.0046,0.0033
AZ,Siena/NYT Upshot,RV,652,10/13/2019,10/23/2019,10/18/2019,5,1,,3256,0.000,232,-0.0045,0.0033
AZ,Siena/NYT Upshot,LV,652,10/13/2019,10/23/2019,10/18/2019,2,1,,1302,0.000,232,-0.0045,0.0033
PA,Siena/NYT Upshot,RV,661,10/13/2019,10/25/2019,10/19/2019,3,1,,1981,0.000,231,-0.0045,0.0033
PA,Siena/NYT Upshot,LV,661,10/13/2019,10/25/2019,10/19/2019,1,1,,660,0.000,231,-0.0045,0.0033
MI,Siena/NYT Upshot,LV,501,10/13/2019,10/25/2019,10/19/2019,1,1,,500,0.000,231,-0.0045,0.0033
MI,Siena/NYT Upshot,RV,501,10/13/2019,10/25/2019,10/19/2019,0,1,,0,0.000,231,-0.0045,0.0033
NC,Siena/NYT Upshot,LV,651,10/13/2019,10/26/2019,10/19/2019,-2,1,,-1301,0.000,231,-0.0045,0.0033
NC,Siena/NYT Upshot,RV,651,10/13/2019,10/26/2019,10/19/2019,-2,1,,-1301,0.000,231,-0.0045,0.0033
WI,Siena/NYT Upshot,LV,651,10/13/2019,10/26/2019,10/19/2019,2,1,,1301,0.000,231,-0.0045,0.0033
WI,Siena/NYT Upshot,RV,651,10/13/2019,10/26/2019,10/19/2019,3,1,,1951,0.000,231,-0.0045,0.0033
FL,Siena/NYT Upshot,LV,650,10/13/2019,10/26/2019,10/19/2019,2,1,,1299,0.000,231,-0.0045,0.0033
FL,Siena/NYT Upshot,RV,650,10/13/2019,10/26/2019,10/19/2019,2,1,,1299,0.000,231,-0.0045,0.0033
TX,YouGov,RV,"1,200",10/18/2019,10/27/2019,10/22/2019,-7,5,,-8333,0.699,228,-0.0043,-0.0037
WA,Public Policy Polling,LV,900,10/22/2019,10/23/2019,10/22/2019,22,5,,19643,0.699,228,-0.0043,-0.0037
AZ,Emerson College,RV,901,10/25/2019,10/28/2019,10/26/2019,0,3,,0,0.477,224,-0.0040,-0.0015
IA,Siena/NYT Upshot,RV,"1,435",10/25/2019,10/30/2019,10/27/2019,-1,1,,-1434,0.000,223,-0.0040,0.0033
GA,Zogby,LV,550,10/28/2019,10/30/2019,10/29/2019,2,,2,1097,0.151,221,-0.0039,0.0018
NV,Emerson College,RV,"1,089",10/31/2019,11/3/2019,11/1/2019,-1,3,,-1083,0.477,218,-0.0036,-0.0015
MI,Emerson College,RV,"1,051",10/31/2019,11/3/2019,11/1/2019,12,3,,12548,0.477,218,-0.0036,-0.0015
GA,University of Georgia,RV,"1,028",10/30/2019,11/8/2019,11/3/2019,9,,2,9228,0.151,216,-0.0035,0.0018
PA,Muhlenberg College,RV,410,11/4/2019,11/9/2019,11/6/2019,9,1,,3690,0.000,213,-0.0033,0.0033
GA,Climate Nexus,LV,688,11/4/2019,11/10/2019,11/7/2019,1,,2,686,0.151,212,-0.0033,0.0018
TX,UT-Tyler,RV,"1,093",11/5/2019,11/14/2019,11/9/2019,-5,,2,-5453,0.151,210,-0.0031,0.0018
NV,Fox News,RV,"1,506",11/10/2019,11/13/2019,11/11/2019,7,3,,10495,0.477,208,-0.0030,-0.0015
NC,Fox News,RV,"1,504",11/10/2019,11/13/2019,11/11/2019,2,3,,2995,0.477,208,-0.0030,-0.0015
TX,Beacon Research,RV,"1,000",11/9/2019,11/21/2019,11/15/2019,-1,,2,-998,0.151,204,-0.0028,0.0018
WI,Marquette Law School,RV,801,11/13/2019,11/17/2019,11/15/2019,-3,,2,-2398,0.151,204,-0.0028,0.0018
NH,St. Anselm College,RV,512,11/13/2019,11/18/2019,11/15/2019,8,,2,4088,0.151,204,-0.0028,0.0018
GA,SurveyUSA,LV,"1,303",11/15/2019,11/18/2019,11/16/2019,4,2,,5200,0.301,203,-0.0027,0.0003
CA,SurveyUSA,RV,"2,039",11/20/2019,11/22/2019,11/21/2019,27,2,,54937,0.301,198,-0.0024,0.0003
NH,Emerson College,RV,637,11/22/2019,11/26/2019,11/24/2019,4,3,,2539,0.477,195,-0.0022,-0.0015
NH,Emerson College,RV,547,11/22/2019,11/26/2019,11/24/2019,5,3,,2725,0.477,195,-0.0022,-0.0015
AZ,OH Predictive Insights,LV,628,12/3/2019,12/4/2019,12/3/2019,-2,,2,-1255,0.151,186,-0.0016,0.0018
WI,Firehouse/Optimus,LV,610,12/3/2019,12/5/2019,12/4/2019,-9,,2,-5486,0.151,185,-0.0016,0.0018
PA,Firehouse/Optimus,LV,598,12/3/2019,12/5/2019,12/4/2019,-4,,2,-2390,0.151,185,-0.0016,0.0018
MI,Firehouse/Optimus,LV,551,12/3/2019,12/5/2019,12/4/2019,-5,,2,-2753,0.151,185,-0.0016,0.0018
WI,Marquette Law School,RV,800,12/3/2019,12/8/2019,12/5/2019,1,,2,800,0.151,184,-0.0015,0.0018
CA,CNN/SSRS,RV,"1,011",12/4/2019,12/8/2019,12/6/2019,20,4,,20136,0.602,183,-0.0015,-0.0027
TX,CNN/SSRS,RV,"1,003",12/4/2019,12/9/2019,12/6/2019,-1,4,,-999,0.602,183,-0.0014,-0.0027
VA,Virginia Commonwealth University,A,818,12/2/2019,12/13/2019,12/7/2019,4,,2,3270,0.151,182,-0.0014,0.0018
VA,Virginia Commonwealth University,RV,770,12/2/2019,12/13/2019,12/7/2019,1,,2,770,0.151,182,-0.0014,0.0018
VA,Virginia Commonwealth University,LV,728,12/2/2019,12/13/2019,12/7/2019,3,,2,2183,0.151,182,-0.0014,0.0018
FL,Mason-Dixon Polling & Research Inc.,RV,625,12/11/2019,12/16/2019,12/13/2019,2,4,,1245,0.602,176,-0.0010,-0.0027
VA,Mason-Dixon Polling & Research Inc.,RV,625,12/12/2019,12/16/2019,12/14/2019,4,4,,2491,0.602,175,-0.0010,-0.0027
GA,Mason-Dixon Polling & Research Inc.,RV,625,12/19/2019,12/23/2019,12/21/2019,-7,4,,-4361,0.602,168,-0.0005,-0.0027
CT,Sacred Heart University,A,"1,000",12/16/2019,1/2/2020,12/24/2019,19,,2,19011,0.151,165,-0.0003,0.0018
IA,Public Policy Polling,V,964,12/29/2019,12/31/2019,12/30/2019,-3,5,,-2881,0.699,159,0.0000,-0.0037
AZ,Public Policy Polling,V,760,1/2/2020,1/4/2020,1/3/2020,0,5,,0,0.699,155,0.0003,-0.0037
NM,Emerson College,RV,967,1/3/2020,1/6/2020,1/4/2020,9,3,,8694,0.477,154,0.0004,-0.0015
MI,Glengariff Group Inc.,LV,600,1/3/2020,1/7/2020,1/5/2020,7,,2,4206,0.151,153,0.0004,0.0018
NV,Fox News,RV,"1,505",1/5/2020,1/8/2020,1/6/2020,8,3,,12029,0.477,152,0.0005,-0.0015
WI,Fox News,RV,"1,504",1/5/2020,1/8/2020,1/6/2020,5,3,,7513,0.477,152,0.0005,-0.0015
FL,Cherry Communications,LV,608,1/3/2020,1/12/2020,1/7/2020,-4,,2,-2436,0.151,151,0.0006,0.0018
AL,WPA Intelligence,LV,500,1/7/2020,1/9/2020,1/8/2020,-21,,1,-10524,0.000,150,0.0006,0.0033
WV,WPA Intelligence,LV,500,1/7/2020,1/9/2020,1/8/2020,-35,,1,-17539,0.000,150,0.0006,0.0033
WI,Marquette Law School,RV,800,1/8/2020,1/12/2020,1/10/2020,4,,2,3205,0.151,148,0.0007,0.0018
FL,Florida Atlantic University,RV,"1,285",1/9/2020,1/12/2020,1/10/2020,3,,2,3861,0.151,148,0.0008,0.0018
MI,EPIC-MRA,LV,600,1/9/2020,1/12/2020,1/10/2020,6,4,,3593,0.602,148,0.0008,-0.0027
TX,Texas Lyceum,LV,520,1/10/2020,1/19/2020,1/14/2020,-5,,1,-2607,0.000,144,0.0010,0.0033
WI,Tarrance Group,LV,500,1/14/2020,1/16/2020,1/15/2020,1,,2,501,0.151,143,0.0010,0.0018
TX,Data for Progress,LV,"1,486",1/16/2020,1/21/2020,1/18/2020,-14,6,,-20737,0.778,140,0.0013,-0.0045
UT,RMG Research,RV,"1,017",1/15/2020,1/22/2020,1/18/2020,-18,,2,-18346,0.151,140,0.0013,0.0018
DE,Gonzales Research & Marketing Strategies Inc.,LV,410,1/16/2020,1/21/2020,1/18/2020,16,,2,6574,0.151,140,0.0013,0.0018
MO,American Viewpoint,LV,"1,200",1/20/2020,1/22/2020,1/21/2020,-7,,2,-8419,0.151,137,0.0014,0.0018
NH,Marist College,RV,"2,223",1/20/2020,1/23/2020,1/21/2020,8,1,,17869,0.000,137,0.0014,0.0033
IA,Siena/NYT Upshot,RV,"1,689",1/20/2020,1/23/2020,1/21/2020,-2,1,,-3394,0.000,137,0.0014,0.0033
"AZ
","Fabrizio, Lee & Associates",LV,"1,000",1/22/2020,1/24/2020,1/23/2020,-5,,2,-5012,0.151,135,0.0015,0.0018
TX,UT-Tyler,RV,"1,169",1/21/2020,1/30/2020,1/25/2020,-2,,2,-2344,0.151,133,0.0017,0.0018
TX,UT-Tyler,LV,915,1/21/2020,1/30/2020,1/25/2020,-2,,2,-1835,0.151,133,0.0017,0.0018
TN,Mason-Dixon Polling & Research Inc.,RV,625,1/28/2020,1/30/2020,1/29/2020,-16,4,,-9992,0.602,129,0.0019,-0.0027
ND,DFM Research, , ,1/28/2020,2/1/2020,1/30/2020,-19,,2,,0.151,128,0.0020,0.0018
ND,DFM Research,A,600,1/28/2020,2/1/2020,1/30/2020,-25,,2,-15043,0.151,128,0.0020,0.0018
SC,East Carolina University,RV,"1,756",1/31/2020,2/2/2020,2/1/2020,-12,,2,-21135,0.151,126,0.0021,0.0018
KS,DFM Research,A,600,1/30/2020,2/6/2020,2/2/2020,-8,,2,-4815,0.151,125,0.0022,0.0018
TX,YouGov,RV,"1,200",1/31/2020,2/9/2020,2/4/2020,-4,5,,-4793,0.699,123,0.0023,-0.0037
NH,McLaughlin & Associates,LV,400,2/4/2020,2/5/2020,2/4/2020,-4,,3,-1604,0.239,123,0.0023,0.0009
AL,Mason-Dixon Polling & Research Inc.,RV,625,2/4/2020,2/6/2020,2/5/2020,-20,4,,-12496,0.602,122,0.0023,-0.0027
CA,YouGov,LV,"1,200",2/1/2020,2/15/2020,2/8/2020,30,5,,35959,0.699,119,0.0025,-0.0037
NH,AtlasIntel,RV,"1,100",2/8/2020,2/10/2020,2/9/2020,-2,,2,-2208,0.151,118,0.0026,0.0018
OK,Cole Hargrave Snodgrass & Associates,RV,500,2/10/2020,2/13/2020,2/11/2020,-28,,2,-14051,0.151,116,0.0028,0.0018
MI,Expedition Strategies,RV,500,2/6/2020,2/18/2020,2/12/2020,0,,2,0,0.151,115,0.0028,0.0018
PA,Expedition Strategies,RV,500,2/6/2020,2/18/2020,2/12/2020,5,,2,2509,0.151,115,0.0028,0.0018
WI,Expedition Strategies,RV,500,2/6/2020,2/18/2020,2/12/2020,-2,,2,-1004,0.151,115,0.0028,0.0018
AZ,Climate Nexus,RV,539,2/11/2020,2/15/2020,2/13/2020,-4,,2,-2164,0.151,114,0.0029,0.0018
VA,Roanoke College,LV,520,2/9/2020,2/18/2020,2/13/2020,8,,2,4176,0.151,114,0.0029,0.0018
