state,pollster,Respondent type,sample_size,start_date,end_date,Average date,Margin,Grade,Tentative grade,Weighted,Grade log,True age,Age weight,Grade weight
NJ,Fairleigh Dickinson University,A,790,2/12/2020,2/16/2020,2/14/2020,18,,2,14274,0.151,113,0.0029,0.0018
NJ,Fairleigh Dickinson University,RV,715,2/12/2020,2/16/2020,2/14/2020,18,,2,12919,0.151,113,0.0029,0.0018
FL,University of North Florida,RV,668,2/10/2020,2/18/2020,2/14/2020,1,,1,671,0.000,113,0.0029,0.0033
NC,SurveyUSA,RV,"2,366",2/13/2020,2/16/2020,2/14/2020,4,2,,9495,0.301,113,0.0029,0.0003
CA,SurveyUSA,RV,"1,196",2/13/2020,2/16/2020,2/14/2020,20,2,,23998,0.301,113,0.0029,0.0003
PA,Quinnipiac University,RV,849,2/12/2020,2/18/2020,2/15/2020,8,4,,6794,0.602,112,0.0030,-0.0027
MI,Quinnipiac University,RV,845,2/12/2020,2/18/2020,2/15/2020,4,4,,3381,0.602,112,0.0030,-0.0027
WI,Quinnipiac University,RV,823,2/12/2020,2/18/2020,2/15/2020,-7,4,,-5763,0.602,112,0.0030,-0.0027
MI,YouGov,RV,"1,249",2/11/2020,2/20/2020,2/15/2020,4,5,,4993,0.699,112,0.0030,-0.0037
PA,YouGov,RV,"1,171",2/11/2020,2/20/2020,2/15/2020,1,5,,1170,0.699,112,0.0030,-0.0037
WI,YouGov,RV,936,2/11/2020,2/20/2020,2/15/2020,2,5,,1871,0.699,112,0.0030,-0.0037
"MD
",Goucher College,LV,718,2/13/2020,2/19/2020,2/16/2020,25,,2,18021,0.151,111,0.0030,0.0018
PA,Muhlenberg College,RV,424,2/12/2020,2/20/2020,2/16/2020,0,1,,0,0.000,111,0.0030,0.0033
NC,Climate Nexus,RV,675,2/15/2020,2/19/2020,2/17/2020,2,,2,1355,0.151,110,0.0031,0.0018
MT,University of Montana,LV,498,2/12/2020,2/22/2020,2/17/2020,-22,,1,-11008,0.000,110,0.0031,0.0033
CO,Climate Nexus,RV,485,2/15/2020,2/19/2020,2/17/2020,3,,2,1461,0.151,110,0.0031,0.0018
NY,Siena College,RV,658,2/16/2020,2/20/2020,2/18/2020,19,3,,12523,0.477,109,0.0032,-0.0015
FL,Saint Leo University,LV,900,2/17/2020,2/22/2020,2/19/2020,11,,3,9937,0.239,108,0.0033,0.0009
NV,AtlasIntel,RV,"1,100",2/19/2020,2/21/2020,2/20/2020,3,,2,3314,0.151,107,0.0033,0.0018
WI,Marquette Law School,RV,"1,000",2/19/2020,2/23/2020,2/21/2020,0,,2,0,0.151,106,0.0034,0.0018
TX,UT-Tyler,RV,"1,221",2/17/2020,2/26/2020,2/21/2020,-1,,2,-1226,0.151,106,0.0034,0.0018
NH,University of New Hampshire,LV,576,2/19/2020,2/25/2020,2/22/2020,-2,6,,-1151,0.778,105,0.0034,-0.0045
CA,"University of California, Berkeley",LV,"6,002",2/20/2020,2/25/2020,2/22/2020,27,,3,162688,0.239,105,0.0034,0.0009
TX,Univision,RV,"1,004",2/21/2020,2/26/2020,2/23/2020,-3,,2,-3025,0.151,104,0.0035,0.0018
TX,CNN/SSRS,RV,"1,003",2/22/2020,2/26/2020,2/24/2020,1,4,,1004,0.602,103,0.0035,-0.0027
CA,CNN/SSRS,RV,951,2/22/2020,2/26/2020,2/24/2020,25,4,,23795,0.602,103,0.0035,-0.0027
TX,Marist College,RV,"2,409",2/23/2020,2/27/2020,2/25/2020,-4,1,,-9703,0.000,102,0.0036,0.0033
NC,Marist College,RV,"2,120",2/23/2020,2/27/2020,2/25/2020,4,1,,8539,0.000,102,0.0036,0.0033
SC,AtlasIntel,RV,"1,100",2/25/2020,2/28/2020,2/26/2020,-6,,2,-6630,0.151,101,0.0037,0.0018
MO,Remington Research,LV,"1,050",2/26/2020,2/27/2020,2/26/2020,-10,n/a,,-10539,,101,0.0037,
VA,Hampton University,RV,768,2/25/2020,2/28/2020,2/26/2020,7,,3,5398,0.239,101,0.0037,0.0009
CA,YouGov,RV,"1,507",2/26/2020,2/28/2020,2/27/2020,28,5,,42198,0.699,100,0.0037,-0.0037
UT,RMG Research,RV,"1,000",2/24/2020,3/1/2020,2/27/2020,-17,,2,-17079,0.151,100,0.0037,0.0018
MS,Mason-Dixon Polling & Research Inc.,RV,625,2/26/2020,2/28/2020,2/27/2020,-15,4,,-9385,0.602,100,0.0037,-0.0027
NC,East Carolina University,RV,"1,288",2/27/2020,2/28/2020,2/27/2020,3,,2,3882,0.151,100,0.0038,0.0018
GA,University of Georgia,LV,"1,117",2/24/2020,3/2/2020,2/27/2020,-8,,2,-8978,0.151,100,0.0038,0.0018
CA,AtlasIntel,RV,"1,100",2/24/2020,3/2/2020,2/27/2020,36,,2,39785,0.151,100,0.0038,0.0018
TX,AtlasIntel,RV,"1,100",2/24/2020,3/2/2020,2/27/2020,-4,,2,-4421,0.151,100,0.0038,0.0018
ME,Public Policy Polling,V,872,3/2/2020,3/3/2020,3/2/2020,10,5,,8723,0.699,96,0.0040,-0.0037
AZ,Public Policy Polling,V,666,3/2/2020,3/3/2020,3/2/2020,1,5,,666,0.699,96,0.0040,-0.0037
CT,Sacred Heart University,A,"1,000",2/24/2020,3/12/2020,3/3/2020,16,,2,16080,0.151,95,0.0041,0.0018
IA,Selzer & Co.,LV,667,3/2/2020,3/5/2020,3/3/2020,-10,1,,-6719,0.000,95,0.0041,0.0033
AZ,OH Predictive Insights,LV,600,3/3/2020,3/4/2020,3/3/2020,6,,2,3618,0.151,95,0.0041,0.0018
ND,DFM Research,LV,400,3/3/2020,3/5/2020,3/4/2020,-17,,2,-6834,0.151,94,0.0041,0.0018
WA,SurveyUSA,RV,992,3/4/2020,3/6/2020,3/5/2020,23,2,,22918,0.301,93,0.0042,0.0003
FL,Florida Atlantic University,RV,"1,216",3/5/2020,3/7/2020,3/6/2020,-1,,2,-1222,0.151,92,0.0042,0.0018
MI,Firehouse/Optimus,LV,550,3/5/2020,3/7/2020,3/6/2020,-2,,2,-1106,0.151,92,0.0042,0.0018
PA,Firehouse/Optimus,LV,533,3/5/2020,3/7/2020,3/6/2020,-2,,2,-1071,0.151,92,0.0042,0.0018
WI,Firehouse/Optimus,LV,502,3/5/2020,3/7/2020,3/6/2020,-1,,2,-505,0.151,92,0.0042,0.0018
MI,Monmouth University,RV,977,3/5/2020,3/8/2020,3/6/2020,7,1,,6891,0.000,92,0.0043,0.0033
OK,Amber Integrated,LV,500,3/5/2020,3/8/2020,3/6/2020,-24,,2,-12062,0.151,92,0.0043,0.0018
PA,YouGov,RV,725,3/6/2020,3/8/2020,3/7/2020,6,5,,4353,0.699,91,0.0043,-0.0037
MI,YouGov,RV,566,3/6/2020,3/8/2020,3/7/2020,4,5,,2265,0.699,91,0.0043,-0.0037
WI,YouGov,RV,459,3/6/2020,3/8/2020,3/7/2020,2,5,,919,0.699,91,0.0043,-0.0037
MI,AtlasIntel,RV,"1,100",3/7/2020,3/9/2020,3/8/2020,-1,,2,-1106,0.151,90,0.0044,0.0018
AZ,Latino Decisions,RV,"1,036",3/6/2020,3/11/2020,3/8/2020,8,,2,8332,0.151,90,0.0044,0.0018
FL,Latino Decisions,RV,"1,071",3/6/2020,3/12/2020,3/9/2020,-3,,2,-3230,0.151,89,0.0044,0.0018
WI,Public Policy Polling,V,"1,727",3/10/2020,3/11/2020,3/10/2020,3,5,,5185,0.699,88,0.0045,-0.0037
KS,Public Policy Polling,V,"1,567",3/10/2020,3/11/2020,3/10/2020,-12,5,,-18820,0.699,88,0.0045,-0.0037
OH,Marist College,RV,"1,710",3/10/2020,3/13/2020,3/11/2020,4,1,,6894,0.000,87,0.0046,0.0033
AZ,Marist College,RV,"2,523",3/10/2020,3/15/2020,3/12/2020,1,1,,2543,0.000,86,0.0046,0.0033
AZ,Monmouth University,RV,847,3/11/2020,3/14/2020,3/12/2020,3,1,,2561,0.000,86,0.0046,0.0033
MI,Hodas & Associates,RV,600,3/12/2020,3/16/2020,3/14/2020,7,n/a,,4220,,84,0.0047,
FL,AtlasIntel,RV,"1,100",3/14/2020,3/16/2020,3/15/2020,1,,2,1106,0.151,83,0.0048,0.0018
WI,Hodas & Associates,RV,600,3/17/2020,3/19/2020,3/18/2020,-3,n/a,,-1809,,80,0.0050,
MI,Marketing Resource Group,LV,600,3/16/2020,3/20/2020,3/18/2020,3,,2,1811,0.151,80,0.0050,0.0018
PA,Hodas & Associates,RV,600,3/19/2020,3/21/2020,3/20/2020,-2,n/a,,-1206,,78,0.0051,
OH,Baldwin Wallace University,RV,"1,025",3/17/2020,3/25/2020,3/21/2020,-4,,3,-4123,0.239,77,0.0052,0.0009
MI,Baldwin Wallace University,RV,997,3/17/2020,3/25/2020,3/21/2020,5,,3,5013,0.239,77,0.0052,0.0009
PA,Baldwin Wallace University,RV,973,3/17/2020,3/25/2020,3/21/2020,-2,,3,-1957,0.239,77,0.0052,0.0009
WI,Baldwin Wallace University,RV,822,3/17/2020,3/25/2020,3/21/2020,0,,3,0,0.239,77,0.0052,0.0009
NY,Siena College,RV,566,3/22/2020,3/26/2020,3/24/2020,25,3,,14205,0.477,74,0.0054,-0.0015
UT,Y2 Analytics,LV,"1,266",3/21/2020,3/30/2020,3/25/2020,-5,,2,-6370,0.151,73,0.0055,0.0018
WI,Marquette Law School,RV,813,3/24/2020,3/29/2020,3/26/2020,3,,2,2455,0.151,72,0.0055,0.0018
CA,Public Policy Polling,V,962,3/28/2020,3/29/2020,3/28/2020,38,5,,36627,0.699,70,0.0056,-0.0037
CT,Sacred Heart University,A,"1,000",3/24/2020,4/3/2020,3/29/2020,13,,2,13086,0.151,69,0.0057,0.0018
MI,Spry Strategies,LV,602,3/30/2020,4/1/2020,3/31/2020,0,,2,0,0.151,67,0.0058,0.0018
GA,Battleground Connect,LV,"1,035",3/31/2020,4/1/2020,3/31/2020,-2,,2,-2084,0.151,67,0.0058,0.0018
MI,Public Policy Polling,V,"1,019",3/31/2020,4/1/2020,3/31/2020,3,5,,3064,0.699,67,0.0058,-0.0037
VA,Virginia Commonwealth University,LV,663,3/25/2020,4/8/2020,4/1/2020,10,,2,6675,0.151,66,0.0059,0.0018
FL,University of North Florida,RV,"3,244",3/31/2020,4/4/2020,4/2/2020,6,,1,19612,0.000,65,0.0059,0.0033
WA,EMC Research,RV,473,3/31/2020,4/6/2020,4/3/2020,13,,1,6196,0.000,64,0.0060,0.0033
NC,Harper Polling,LV,500,4/5/2020,4/7/2020,4/6/2020,-7,,2,-3525,0.151,61,0.0062,0.0018
MI,Hart Research Associates,LV,303,4/6/2020,4/8/2020,4/7/2020,9,,2,2746,0.151,60,0.0062,0.0018
WI,Hart Research Associates,LV,301,4/6/2020,4/8/2020,4/7/2020,1,,2,303,0.151,60,0.0062,0.0018
AZ,OH Predictive Insights,LV,600,4/7/2020,4/8/2020,4/7/2020,9,,2,5439,0.151,60,0.0063,0.0018
MS,Chism Strategies,LV,508,4/8/2020,4/9/2020,4/8/2020,-11,,2,-5628,0.151,59,0.0063,0.0018
MI,Hodas & Associates,LV,600,4/9/2020,4/11/2020,4/10/2020,6,n/a,,3623,,57,0.0064,
Indiana,Change Research,LV,"1,021",4/10/2020,4/13/2020,4/11/2020,-13,9,,-13276,0.954,56,0.0065,-0.0062
WI,Hodas & Associates,LV,600,4/13/2020,4/15/2020,4/14/2020,4,n/a,,2416,,53,0.0067,
CO,Montana State University Bozeman,LV,380,4/10/2020,4/19/2020,4/14/2020,18,,2,6892,0.151,53,0.0067,0.0018
NC,Public Policy Polling,V,"1,318",4/14/2020,4/15/2020,4/14/2020,1,5,,1322,0.699,53,0.0067,-0.0037
TX,YouGov,RV,"1,200",4/10/2020,4/19/2020,4/14/2020,-5,5,,-6018,0.699,53,0.0067,-0.0037
NC,Garin-Hart-Yang Research Group,LV,800,4/13/2020,4/18/2020,4/15/2020,3,,2,2418,0.151,52,0.0068,0.0018
FL,St. Pete Polls,RV,"5,659",4/16/2020,4/17/2020,4/16/2020,1,8,,5665,0.903,51,0.0068,-0.0057
PA,Susquehanna Polling & Research Inc.,LV,693,4/14/2020,4/20/2020,4/17/2020,6,8,,4163,0.903,50,0.0069,-0.0057
PA,Hodas & Associates,LV,600,4/16/2020,4/18/2020,4/17/2020,0,n/a,,0,,50,0.0069,
WI,Ipsos,A,711,4/15/2020,4/20/2020,4/17/2020,2,6,,1425,0.778,50,0.0069,-0.0045
PA,Ipsos,A,654,4/15/2020,4/20/2020,4/17/2020,5,6,,3278,0.778,50,0.0069,-0.0045
WI,Ipsos,RV,645,4/15/2020,4/20/2020,4/17/2020,3,6,,1940,0.778,50,0.0069,-0.0045
MI,Ipsos,A,642,4/15/2020,4/20/2020,4/17/2020,9,6,,5792,0.778,50,0.0069,-0.0045
NJ,Monmouth University,RV,635,4/16/2020,4/19/2020,4/17/2020,16,1,,10264,0.000,50,0.0069,0.0033
MI,Ipsos,RV,612,4/15/2020,4/20/2020,4/17/2020,8,6,,4908,0.778,50,0.0069,-0.0045
PA,Ipsos,RV,578,4/15/2020,4/20/2020,4/17/2020,6,6,,3476,0.778,50,0.0069,-0.0045
FL,Quinnipiac University,RV,"1,385",4/16/2020,4/20/2020,4/18/2020,4,4,,5563,0.602,49,0.0069,-0.0027
UT,RMG Research,RV,964,4/15/2020,4/21/2020,4/18/2020,-19,,2,-18460,0.151,49,0.0069,0.0018
MT,Montana State University Bozeman,LV,458,4/10/2020,4/27/2020,4/18/2020,-6,,,-2748,,,,
FL,Fox News,RV,"1,004",4/18/2020,4/21/2020,4/19/2020,3,3,,3029,0.477,48,0.0070,-0.0015
PA,Fox News,RV,803,4/18/2020,4/21/2020,4/19/2020,8,3,,6460,0.477,48,0.0070,-0.0015
MI,Fox News,RV,801,4/18/2020,4/21/2020,4/19/2020,8,3,,6444,0.477,48,0.0070,-0.0015
WI,Public Policy Polling,V,"1,415",4/20/2020,4/21/2020,4/20/2020,5,5,,7099,0.699,47,0.0071,-0.0037
MI,Public Policy Polling,V,"1,277",4/20/2020,4/21/2020,4/20/2020,7,5,,8969,0.699,47,0.0071,-0.0037
NC,Public Policy Polling,V,"1,275",4/20/2020,4/21/2020,4/20/2020,3,5,,3838,0.699,47,0.0071,-0.0037
PA,Public Policy Polling,V,"1,251",4/20/2020,4/21/2020,4/20/2020,7,5,,8787,0.699,47,0.0071,-0.0037
NM,Public Policy Polling,V,"1,009",4/20/2020,4/21/2020,4/20/2020,12,5,,12149,0.699,47,0.0071,-0.0037
NY,Siena College,RV,803,4/19/2020,4/23/2020,4/21/2020,36,3,,29071,0.477,46,0.0071,-0.0015
TX,UT-Tyler,RV,"1,183",4/18/2020,4/27/2020,4/22/2020,0,,2,0,0.151,45,0.0072,0.0018
OH,Baldwin Wallace University,RV,797,4/20/2020,4/25/2020,4/22/2020,1,,3,803,0.239,45,0.0072,0.0009
PA,Harper Polling,LV,644,4/21/2020,4/26/2020,4/23/2020,6,,2,3896,0.151,44,0.0073,0.0018
NC,SurveyUSA,LV,580,4/23/2020,4/26/2020,4/24/2020,5,2,,2922,0.301,43,0.0073,0.0003
NH,St. Anselm College,RV,820,4/23/2020,4/27/2020,4/25/2020,8,,2,6614,0.151,42,0.0074,0.0018
GA,Cygnal,LV,591,4/25/2020,4/27/2020,4/26/2020,-1,,1,-596,0.000,41,0.0074,0.0033
TN,East Tennessee State University,LV,536,4/22/2020,5/1/2020,4/26/2020,-17,,2,-9188,0.151,41,0.0075,0.0018
NJ,Rutgers University,RV,"1,364",4/22/2020,5/2/2020,4/27/2020,23,,2,31636,0.151,40,0.0075,0.0018
NJ,Rutgers University,A,"1,502",4/22/2020,5/2/2020,4/27/2020,23,,2,34836,0.151,40,0.0075,0.0018
TX,Public Policy Polling,V,"1,032",4/27/2020,4/28/2020,4/27/2020,1,5,,1036,0.699,40,0.0075,-0.0037
NC,Meredith College,RV,604,4/27/2020,4/28/2020,4/27/2020,7,,2,4264,0.151,40,0.0075,0.0018
NV,ALG Research,LV,763,4/27/2020,4/30/2020,4/28/2020,4,,2,3078,0.151,39,0.0076,0.0018
MI,Public Policy Polling,V,"1,270",4/28/2020,4/29/2020,4/28/2020,8,5,,10199,0.699,39,0.0076,-0.0037
MA,University of Massachusetts Lowell,RV,"1,000",4/27/2020,5/1/2020,4/29/2020,28,,1,28260,0.000,38,0.0076,0.0033
IA,Public Policy Polling,V,"1,222",4/30/2020,5/1/2020,4/30/2020,-2,5,,-2454,0.699,37,0.0077,-0.0037
CT,Quinnipiac University,RV,945,4/30/2020,5/4/2020,5/2/2020,23,4,,21845,0.602,35,0.0078,-0.0027
NJ,Quinnipiac University,RV,941,4/30/2020,5/4/2020,5/2/2020,19,4,,17970,0.602,35,0.0078,-0.0027
NY,Quinnipiac University,RV,915,4/30/2020,5/4/2020,5/2/2020,23,4,,21152,0.602,35,0.0078,-0.0027
CO,Keating Research/OnSight Public Affairs/Melanson,LV,600,5/1/2020,5/3/2020,5/2/2020,19,,2,11499,0.151,35,0.0078,0.0018
MI,Hodas & Associates,LV,600,5/1/2020,5/5/2020,5/3/2020,9,n/a,,5442,,34,0.0079,
NC,Civiqs,RV,"1,362",5/2/2020,5/4/2020,5/3/2020,3,,2,4122,0.151,34,0.0079,0.0018
WI,Marquette Law School,RV,811,5/3/2020,5/7/2020,5/5/2020,3,,2,2455,0.151,32,0.0080,0.0018
GA,Public Opinion Strategies,LV,500,5/4/2020,5/7/2020,5/5/2020,1,4,,503,0.602,32,0.0080,-0.0027
MA,Emerson College,RV,740,5/5/2020,5/6/2020,5/5/2020,34,3,,25325,0.477,32,0.0080,-0.0015
WI,Hodas & Associates,LV,600,5/6/2020,5/8/2020,5/7/2020,9,n/a,,5444,,30,0.0081,
NC,East Carolina University,RV,"1,111",5/7/2020,5/9/2020,5/8/2020,-3,,2,-3363,0.151,29,0.0082,0.0018
NE-2,DCCC Targeting and Analytics Department,LV,448,5/7/2020,5/10/2020,5/8/2020,11,,2,4973,0.151,29,0.0082,0.0018
CA,Emerson College,RV,800,5/8/2020,5/9/2020,5/8/2020,30,3,,24162,0.477,29,0.0082,-0.0015
CO,Global Strategy Group,RV,800,5/7/2020,5/11/2020,5/9/2020,13,,2,10495,0.151,28,0.0082,0.0018
OH,Emerson College,RV,725,5/8/2020,5/10/2020,5/9/2020,-3,3,,-2190,0.477,28,0.0082,-0.0015
TX,Emerson College,RV,800,5/8/2020,5/10/2020,5/9/2020,-3,3,,-2416,0.477,28,0.0082,-0.0015
VA,Roanoke College,RV,563,5/3/2020,5/16/2020,5/9/2020,12,,2,6818,0.151,28,0.0083,0.0018
AZ,OH Predictive Insights,LV,600,5/9/2020,5/11/2020,5/10/2020,7,,2,4239,0.151,27,0.0083,0.0018
FL,Florida Atlantic University,RV,928,5/8/2020,5/12/2020,5/10/2020,5,,2,4683,0.151,27,0.0083,0.0018
NC,Meeting Street Insights,RV,500,5/9/2020,5/13/2020,5/11/2020,0,,2,0,0.151,26,0.0084,0.0018
PA,Hodas & Associates,LV,600,5/9/2020,5/13/2020,5/11/2020,-5,n/a,,-3025,,26,0.0084,
UT,Y2 Analytics,LV,"1,078",5/9/2020,5/15/2020,5/12/2020,-3,,2,-3264,0.151,25,0.0084,0.0018
WI,Redfield & Wilton,LV,875,5/10/2020,5/14/2020,5/12/2020,10,n/a,,8824,,25,0.0084,
PA,Redfield & Wilton,LV,963,5/10/2020,5/14/2020,5/12/2020,9,n/a,,8740,,25,0.0084,
MI,Redfield & Wilton,LV,970,5/10/2020,5/14/2020,5/12/2020,8,n/a,,7825,,25,0.0084,
NC,Redfield & Wilton,LV,859,5/10/2020,5/14/2020,5/12/2020,2,n/a,,1732,,25,0.0084,
AZ,Redfield & Wilton,LV,946,5/10/2020,5/14/2020,5/12/2020,4,n/a,,3816,,25,0.0084,
FL,Redfield & Wilton,LV,"1,014",5/10/2020,5/14/2020,5/12/2020,2,n/a,,2045,,25,0.0084,
GA,BK Strategies,LV,700,5/11/2020,5/13/2020,5/12/2020,-2,,2,-1413,0.151,25,0.0084,0.0018
MI,Change Research,LV,"3,070",5/11/2020,5/17/2020,5/14/2020,3,9,,9231,0.954,23,0.0086,-0.0062
KY,Public Policy Polling,V,"1,104",5/14/2020,5/15/2020,5/14/2020,-16,5,,-17750,0.699,23,0.0086,-0.0037
FL,Point Blank Political,LV,"2,149",5/14/2020,5/17/2020,5/15/2020,5,,3,10843,0.239,22,0.0087,0.0009
FL,Point Blank Political,LV,"2,149",5/14/2020,5/17/2020,5/15/2020,1,,3,2169,0.239,22,0.0087,0.0009
NC,Neighborhood Research and Media,LV,391,5/12/2020,5/21/2020,5/16/2020,0,,2,0,0.151,21,0.0087,0.0018
GA,Civiqs,RV,"1,339",5/16/2020,5/18/2020,5/17/2020,1,,2,1352,0.151,20,0.0087,0.0018
WA,SurveyUSA,LV,530,5/16/2020,5/19/2020,5/17/2020,26,2,,13905,0.301,20,0.0088,0.0003
MI,Public Policy Polling,V,"1,234",5/18/2020,5/19/2020,5/18/2020,6,5,,7442,0.699,19,0.0088,-0.0037
CA,SurveyUSA,LV,537,5/18/2020,5/19/2020,5/18/2020,28,2,,15174,0.301,19,0.0088,0.0003
NY,Siena College,RV,796,5/17/2020,5/21/2020,5/19/2020,25,3,,20047,0.477,18,0.0089,-0.0015
MN,Mason-Dixon Polling & Research Inc.,RV,800,5/18/2020,5/20/2020,5/19/2020,5,4,,4025,0.602,18,0.0089,-0.0027
WA,Public Policy Polling,LV,"1,070",5/19/2020,5/20/2020,5/19/2020,22,5,,23662,0.699,18,0.0089,-0.0037
AZ,HighGround Inc.,LV,400,5/18/2020,5/22/2020,5/20/2020,2,,2,808,0.151,17,0.0089,0.0018
"MD
",Gonzales Research & Marketing Strategies Inc.,LV,810,5/19/2020,5/23/2020,5/21/2020,24,,2,19633,0.151,16,0.0090,0.0018
CA,Public Policy Institute of California,LV,"1,048",5/17/2020,5/26/2020,5/21/2020,24,,1,25421,0.000,16,0.0090,0.0033
Indiana,Victoria Research & Consulting,LV,894,5/21/2020,5/23/2020,5/22/2020,-10,,2,-9029,0.151,15,0.0091,0.0018
SC,Civiqs,RV,591,5/23/2020,5/26/2020,5/24/2020,-10,,2,-5970,0.151,13,0.0092,0.0018
MO,We Ask America,LV,500,5/26/2020,5/27/2020,5/26/2020,-4,8,,-2007,0.903,11,0.0093,-0.0057
FL,St. Pete Polls,RV,"4,763",5/26/2020,5/27/2020,5/26/2020,1,8,,4780,0.903,11,0.0093,-0.0057
NC,Harper Polling,LV,500,5/26/2020,5/28/2020,5/27/2020,-3,,2,-1515,0.151,10,0.0094,0.0018
MI,Public Policy Polling,V,"1,582",5/29/2020,5/30/2020,5/29/2020,6,5,,9547,0.699,8,0.0095,-0.0037
TX,Quinnipiac University,RV,"1,166",5/28/2020,6/1/2020,5/30/2020,-1,4,,-1174,0.602,7,0.0096,-0.0027
WI,Change Research,LV,382,5/29/2020,5/31/2020,5/30/2020,0,9,,0,0.954,7,0.0096,-0.0062
PA,Change Research,LV,579,5/29/2020,5/31/2020,5/30/2020,-4,9,,-2324,0.954,7,0.0096,-0.0062
NC,Change Research,LV,806,5/29/2020,5/31/2020,5/30/2020,1,9,,809,0.954,7,0.0096,-0.0062
MI,Change Research,LV,620,5/29/2020,5/31/2020,5/30/2020,2,9,,1244,0.954,7,0.0096,-0.0062
FL,Change Research,LV,"1,186",5/29/2020,5/31/2020,5/30/2020,3,9,,3570,0.954,7,0.0096,-0.0062
AZ,Change Research,LV,329,5/29/2020,5/31/2020,5/30/2020,-1,9,,-330,0.954,7,0.0096,-0.0062
KS,Civiqs,RV,699,5/30/2020,6/1/2020,5/31/2020,-12,,2,-8476,0.151,6,0.0096,0.0018
WI,Fox News,RV,801,5/30/2020,6/2/2020,5/31/2020,9,3,,7268,0.477,6,0.0097,-0.0015
OH,Fox News,RV,803,5/30/2020,6/2/2020,5/31/2020,2,3,,1619,0.477,6,0.0097,-0.0015
AZ,Fox News,RV,"1,002",5/30/2020,6/2/2020,5/31/2020,4,3,,4041,0.477,6,0.0097,-0.0015
NC,Public Policy Polling,V,949,6/2/2020,6/3/2020,6/2/2020,4,5,,3819,0.699,4,0.0098,-0.0037
TX,Public Policy Polling,V,$682.00,6/3/2020,6/4/2020,6/3/2020,0,5,,0,0.699,3,0.0098,-0.0037
IA,Public Policy Polling,V,963,6/3/2020,6/4/2020,6/3/2020,-1,5,,-969,0.699,3,0.0098,-0.0037